,pr_auc,roc_auc,gini,f2,ks,brier
CatBoost,0.803116242525736,0.9023155851358846,0.8046311702717692,0.6987724268177526,0.6162298946200776,0.11555648848439194
FocalLightGBM_Tuned,0.8021052890754135,0.9017467415418746,0.8034934830837492,0.6005841548010222,0.6045881863560733,0.1196601442335736
FocalLightGBM,0.7900378650073605,0.8930886023294509,0.7861772046589017,0.6684491978609626,0.5905379922351636,0.13448833867484805
RandomForest,0.782728231003753,0.8808499722684413,0.7616999445368826,0.6100217864923747,0.5916410149750416,0.07956670709763412
XGBoost,0.7767838805750609,0.8831773433166943,0.7663546866333886,0.6487658438959306,0.5705268996117582,0.10018624705238276
LogisticRegression,0.7157500857288548,0.8657889628397117,0.7315779256794235,0.6735598227474151,0.5730684969495285,0.14724067564342028
